month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,source,remaining_lease,remaining_lease_years,remaining_lease_months,remaining_lease_computed,failure_reason,rid
2015-06-01,QUEENSTOWN,3 ROOM,13,HOLLAND DR,19 TO 21,65.0,Improved,1975,435000.0,Jan2015-Dec2016 (Registration),58.0,47,6,47 years 06 months,id_duplicate,S0133806Q
2015-06-01,QUEENSTOWN,3 ROOM,161,MEI LING ST,04 TO 06,72.0,Improved,1970,430000.0,Jan2015-Dec2016 (Registration),54.0,42,6,42 years 06 months,id_duplicate,S1613806Q
2015-06-01,PUNGGOL,5 ROOM,175C,PUNGGOL FIELD,04 TO 06,110.0,Improved,2003,450000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S1754506P
2015-06-01,PUNGGOL,5 ROOM,652,PUNGGOL CTRL,04 TO 06,110.0,Premium Apartment,2005,450000.0,Jan2015-Dec2016 (Registration),88.0,77,6,77 years 06 months,id_duplicate,S6524506P
2015-06-01,PUNGGOL,5 ROOM,173B,PUNGGOL FIELD,04 TO 06,110.0,Improved,2003,425000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S1734506P
2015-06-01,PUNGGOL,5 ROOM,103C,EDGEFIELD PLAINS,10 TO 12,110.0,Improved,2003,425000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S1034506P
2015-06-01,PUNGGOL,5 ROOM,101D,PUNGGOL FIELD,04 TO 06,110.0,Improved,2002,420000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S1014506P
2015-06-01,QUEENSTOWN,3 ROOM,13,HOLLAND DR,10 TO 12,73.0,Improved,1975,430000.0,Jan2015-Dec2016 (Registration),58.0,47,6,47 years 06 months,id_duplicate,S0133806Q
2015-06-01,QUEENSTOWN,3 ROOM,157,MEI LING ST,13 TO 15,69.0,Improved,1970,375000.0,Jan2015-Dec2016 (Registration),53.0,42,6,42 years 06 months,id_duplicate,S1573806Q
2015-06-01,QUEENSTOWN,3 ROOM,6,GHIM MOH RD,07 TO 09,65.0,Improved,1976,355000.0,Jan2015-Dec2016 (Registration),60.0,48,6,48 years 06 months,id_duplicate,S0063806Q
